artist,image,title,material,medium,date,location,address,zip,lat,lon,,,
Virginia  Fleck,img/NA.jpg,Lamina Groove,Archival IRIS Print On Somerset Watercolor Paper,Print,1/1/02 0:00,EMS Station 17 / Deep Eddy,2307 Foster Ave,78703,30.277331,-97.772569,,,
"Leah Davis, Robert Gay, Jack Sanders  ",img/NA.jpg,Lance Armstrong Bikeway ,"Powder Coated Steel, Solar Panel, Solar Controller, Concrete",Mixed Media,1/1/09 0:00,Lance Armstrong Bikeway,From Veterans Dr/MoPac to 5th/Shady Lane,,,,,,
Stefanie  Distefano,img/ForeverMosaic.JPG,Larry Monroe Forever Mosaic,"Clay, Mirror, Found Objects",Mixed Media,1/1/15 0:00,Bridge over Blunn Creek,1506 East Side Drive,78704,30.247499,-97.7444,,,
Martin  Garcia,img/NA.jpg,Las Acciones del Pasado Aseguran el Exito Hacia el Futuro,Acrylic Paint,Painting,1/1/04 0:00,Oswaldo A. B. Cantu/Pan American Recreation Center,2100 E Third St,78702,30.258079,-97.720882,,,
John  Christensen,img/NA.jpg,"Leaf, Pod & Samara",Cast Concrete,Sculpture,1/1/99 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20224,-97.66748,,,
Jimmy  Luu,img/NA.jpg,Letterscape,Steel Landscape Edging With Planted Grasses,Landscape,1/1/08 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.252586,-97.6897,,,
Rodolfo  Ybarra,img/NA.jpg,Lone Star Gazebo,Galvanized Steel,Sculpture,1/1/95 0:00,Butler Hike and Bike Trail at Lady Bird Lake,700 W Cesar Chavez St,78701,30.265813,-97.753598,,,
"Sunyong  Chung,  Philippe  Klinefelter",img/Lotus.JPG,Lotus,"Granite, Hand-made Ceramic Tiles",Sculpture,1/1/13 0:00,Asian American Resource Center,8401 Cameron Rd,78754,30.339817,-97.680635,,,
The Austin Group,img/NA.jpg,Lou Neff Point Gazebo,"Round Steel Tubing, Iron",Sculpture,1/1/93 0:00,Butler Hike and Bike Trail at Lady Bird Lake,2100 Lou Neff Rd,78746,30.267254,-97.76169,,,
Angel  Quesada,img/lyonsroad.JPG,Lyons Road Pastoral Scene Mural,"Masonry, Latex Based Enamel Paint",Mixed Media,1/1/10 0:00,Lyons Road Bridge,2828 Lyons Rd,78702,30.261903,-97.702233,,,
Rolando Briseo,img/NA.jpg,Macro / Micro Culture,Giclee Print,Print,1/1/02 0:00,Austin Convention Center,500 E Cesar Chavez St,78701,30.263956,-97.739478,,,
Ned  Kahn,img/NA.jpg,Magnetic Column,"Carbon Steel, Tempered Glass, Neodymium Magnets, Magnetite Sand, Black Nylon Bushings",Mixed Media,1/1/12 0:00,Austin Energy System Control Center,2500 Montopolis Dr,78741,30.219972,-97.708788,,,
Reynaldo Alaniz,img/maya.JPG,Maya,Limestone,1/1/17 0:00,Emma S. Barrientos Mexican American Cultural Center,600 River St,Austin,TX,78701,30.258163,-97.740239,,"(30.258163000000003, -97.740239)"
Armando (Tanner)  Martinez,img/NA.jpg,Me Barrio,Acrylic Paint,Painting,1/1/91 0:00,Holly Street Power Plant,2400 Holly St,78702,30.250904,-97.718662,,,
Hugo  Villa,img/texas.JPG,Memorial to the Great Builders of Texas,"Bronze, Granite, Concrete",Mixed Media,1/1/38 0:00,ROW at 11th and Colorado,11th St and Colorado St,78701,30.274459,-97.742727,,,
L.W. Stolz Memorials,img/wwii.JPG,Memorial to the World War ll Dead,"Bronze, Granite",Sculpture,1/1/49 0:00,ROW at 11th and Colorado,11th St and Colorado St,78701,30.273339,-97.742756,,,
Armando (Tanner)  Martinez,img/MetzPool.JPG,Metz Pool House Mural,"Spray Paint, Airbrush",Painting,1/1/90 0:00,Metz Pool,2407 Canterbury St,78702,30.252855,-97.719154,,,
Juan Antonio  Lugo Villegas,img/NA.jpg,Miguel Hidalgo y Costilla,"Bronze, Cast Cement Pedestal",Sculpture,1/1/03 0:00,Republic Square Park,422 Guadalupe St,78701,30.267788,-97.747647,,,
Carl  Trominski,img/NA.jpg,Moments,"Paint, Metal Reflective Panels",Painting,1/1/03 0:00,Lamar Bridge Underpass,300 N Lamar Blvd,78703,30.269366,-97.754881,,,
Fidencio  Duran,img/MontopolisUSA.JPG,Montopolis USA,Acrylic Paint On Board,Painting,1/1/03 0:00,Montopolis Neighborhood Center,1416 Montopolis Dr,78741,30.22915,-97.701347,,,
Shalena White,img/NA.jpg,Mountain Laurel Mandala II,"Texas Mountain Laurel Seeds, Sewing Pins",Misc,1/1/14 0:00,City Hall and Public Plaza,301 W Second St,78701,30.26482,-97.746956,,,
Sharon Roy Finch,img/NA.jpg,MusiCapital,"Graphite, Oils And Sealant On Fiberglass",Mixed Media,1/1/06 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20208,-97.66698,,,
Howard  Weliver,img/NA.jpg,Musician,Enamel On Fiberglass,Sculpture,1/1/06 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20208,-97.66698,,,
Dale  Whistler,img/NA.jpg,Nightwing,"Painted Aluminum, Concrete, Steel",Mixed Media,1/1/98 0:00,Congress Barton Springs Traffic Island,100 1/2 Barton Springs Rd.,78704,30.259365,-97.746412,,,
Mark  Schatz,img/NA.jpg,Nobody Writes Poetry About the Trinity,Cement,Sculpture,1/1/14 0:00,Second Street District,W Second St,78701,30.263424,-97.740781,,,
Thoughtbarn,img/Thoughtbarn_Garden.JPG,North Austin Community Garden,"Wood, Steel, Paint, PVC-coated Steel Wire, Garden Plan",Landscape,1/1/14 0:00,North Austin Community Recreation Center,1000 W Rundberg Ln,78758,30.364945,-97.700279,,,
Pete  Castilleja,img/Nosotros.JPG,Nosotros,"Acrylic Paint On CMU Wall, Painted Wood Frame",Painting,1/1/74 0:00,Metz Recreation Center,2407 Canterbury St,78702,30.25226,-97.718377,,,
John Patrick Cobb,img/NA.jpg,O. Henry at Cards,"Pencil, Sumi Ink, Air Brush, Colored Varnish And White Enamel On Board; Cradled And Varnished With Matte Damar.",Drawing,1/1/93 0:00,O. Henry Museum,409 E Fifth St,78701,30.265758,-97.739139,,,
Shelley  Wood,img/NA.jpg,Odessa,Selenium-toned Silver Gelatin Print,Print,1/1/01 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
Gabel  Karsten,img/onebyone.JPG,One by One,Multi-plate Aquatint,Misc,1/1/96 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
R+R Studios,img/NA.jpg,Open Room Austin,Powder-coated Aluminum,Sculpture,1/1/10 0:00,Sand Beach Park,200 Sandra Muraida Way,78701,30.26705,-97.754742,,,
Materials Coalition,img/NA.jpg,Opossum Temple and Voodoo Pew,Painted Steel And Cast Concrete,Mixed Media,1/1/93 0:00,Butler Hike and Bike Trail at Lady Bird Lake,1125 W Cesar Chavez St,78703,30.26776,-97.759543,,,
Ben  Appl,img/ourhands.JPG,Our Hands / Nuestras Manos,Aluminum With Dye Oxides,Misc,1/1/11 0:00,E. Seventh St. Obelisco at Comal St.,E 7th and Comal St,78702,30.263956,-97.726108,,,
James  Janknegt,img/NA.jpg,Our Neighborhood,Oil On Canvas,Painting,1/1/93 0:00,Cultural Arts Division Offices,201 E 2nd St,78701,30.26362,-97.74299,,,
"Laurel  Butler,  Rita Starpattern",img/outdoorstudio.JPG,Outdoor Studio,Painted Stucco On Concrete Masonry Units,Painting,1/1/90 0:00,Central Access Television Facility,1143 Northwestern Ave,78702,30.269588,-97.715668,,,
Leticia Huerta,img/padrenuestro.JPG,Padre Nuestro,Serigraph,Print,1/1/96 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
Fidencio  Duran,img/zaragozamurals.JPG,Parque Zaragoza Murals,Acrylic Paint,Painting,1/1/96 0:00,Parque Zaragoza Recreation Center,2608 Gonzales St,78702,30.261743,-97.711567,,,
Erin  Curtis,img/PedGeometries1.JPG,Pedestrian Geometries #1,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.264994,-97.743148,,,
Erin  Curtis,img/PedGeometries10.JPG,Pedestrian Geometries #10,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265217,-97.743373,,,
Erin  Curtis,img/PedGeometries11.JPG,Pedestrian Geometries #11,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.26522,-97.743363,,,
Erin  Curtis,img/PedGeometries12.JPG,Pedestrian Geometries #12,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265835,-97.74604,,,
Erin  Curtis,img/PedGeometries16.JPG,Pedestrian Geometries #16,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265831,-97.746029,,,
Erin  Curtis,img/PedGeometries17.JPG,Pedestrian Geometries #17,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265418,-97.744613,,,
Erin  Curtis,img/PedGeometries18.JPG,Pedestrian Geometries #18,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.26431,-97.740749,,,
Erin  Curtis,img/PedGeometries18B.JPG,Pedestrian Geometries #18B,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.266496,-97.748009,,,
Erin  Curtis,img/PedGeometries19.JPG,Pedestrian Geometries #19,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.266722,-97.749248,,,
Erin  Curtis,img/PedGeometries1B.JPG,Pedestrian Geometries #1B,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.26475,-97.741718,,,
Erin  Curtis,img/PedGeometries2.JPG,Pedestrian Geometries #2,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.26544,-97.744665,,,
Erin  Curtis,img/PedGeometries20.JPG,Pedestrian Geometries #20,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.266128,-97.747091,,,
Erin  Curtis,img/PedGeometries21.JPG,Pedestrian Geometries #21,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.266099,-97.746556,,,
Erin  Curtis,img/PedGeometries22.JPG,Pedestrian Geometries #22,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.263994,-97.740759,,,
Erin  Curtis,img/PedGeometries23.JPG,Pedestrian Geometries #23,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265593,-97.744821,,,
Erin  Curtis,img/PedGeometries24.JPG,Pedestrian Geometries #24,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265602,-97.744854,,,
Erin  Curtis,img/PedGeometries25.JPG,Pedestrian Geometries #25,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265596,-97.744832,,,
Erin  Curtis,img/PedGeometries26.JPG,Pedestrian Geometries #26,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265217,-97.743357,,,
Erin  Curtis,img/PedGeometries27.JPG,Pedestrian Geometries #27,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265834,-97.746035,,,
Erin  Curtis,img/PedGeometries29.JPG,Pedestrian Geometries #29,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.264753,-97.742299,,,
Erin  Curtis,img/PedGeometries3.JPG,Pedestrian Geometries #3,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265657,-97.745456,,,
Erin  Curtis,img/PedGeometries30.JPG,Pedestrian Geometries #30,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.266387,-97.747498,,,
Erin  Curtis,img/PedGeometries4.JPG,Pedestrian Geometries #4,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.264884,-97.742125,,,
Erin  Curtis,img/PedGeometries5.JPG,Pedestrian Geometries #5,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.266714,-97.748779,,,
Erin  Curtis,img/PedGeometries9.JPG,Pedestrian Geometries #9,"Elgin-Butler Glazed Brick, Mortar, Grout",Landscape,1/1/13 0:00,Third Street Streetscape,301 Brazos St,78702,30.265597,-97.744844,,,
Katherine  Brimberry,img/personaleffects.JPG,Personal Effects III,Monoprint With Solarplate Etching,Print,1/1/94 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
Jill  Bedgood,img/NA.jpg,Phantom Ship,Cast Concrete Retaining Walls,Landscape,1/1/91 0:00,Zilker Metropolitan Park,2100 Barton Springs Rd,78746,30.264663,-97.769253,,,
Glenna  Goodacre,img/NA.jpg,Philosophers Rock,Bronze,Sculpture,1/1/94 0:00,Zilker Metropolitan Park,2131 William Barton Dr.,78746,30.264214,-97.770738,,,
Tracy  Sutton,img/NA.jpg,Piece of My Heart,Acrylic Paint On Fiberglass,Painting,1/1/06 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20208,-97.66698,,,
Arlene  Polite,img/play.JPG,Play,Woodcut,Misc,1/1/95 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
Dale  Whistler,img/NA.jpg,Playmates,Painted Aluminum,Painting,1/1/99 0:00,Town Lake Animal Center,1156 W Cesar Chavez St,78703,30.26795347,-97.75831654,,,
"Amy Bunker,  Travis Seeger,  Foster Talge",img/Pods.JPG,Pods,"Stainless And Mild Steel, Cedar, Decomposed Granite Landscaping",Landscape,1/1/16 0:00,Montopolis Neighborhood Center,1416 Montopolis Dr,78741,30.229111,-97.701099,,,
Kathy  Marcus,img/NA.jpg,Por Vida,Mixed Media On Fiberglass,Mixed Media,1/1/09 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20208,-97.66698,,,
NADAAA,img/PowerPicket.JPG,Power Picket,"Precast Pigmented Concrete, Perforated Metal Panels",Sculpture,1/1/16 0:00,Seaholm Substation Wall,Seaholm Substation Wall,78701,30.26741,-97.751643,,,
Hawkeye  Glenn,img/NA.jpg,Prayer Wheel,"Granite, Limestone, Steel, Porcelain Enamel",Mixed Media,1/1/14 0:00,Barton Springs Pool,2201 Barton Springs Rd,78746,30.264224,-97.771261,,,
Nan  Standish Blake,img/NA.jpg,Pride,Print On Fujicolor Crystal Archive Paper,Print,1/1/03 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
Arlene  Polite,img/printing.JPG,Printing,Woodcut,Misc,1/1/96 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
Maggie  Desanto,img/processionguadalupe.JPG,Procession for Our Lady of Guadalupe,"Glazed Ceramic Tile, Cement Board",Mixed Media,1/1/11 0:00,E. Seventh Street Obelisco at Robert Martinez,E 7th and Robert Martinez,78702,30.261583,-97.718018,,,
Nell  Gould,img/notaquince.JPG,Q (not a quince),Etching ,Misc,1/1/97 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
Damian  Priour,img/NA.jpg,Question Mark,Stained Glass,Mosaic,1/1/79 0:00,Faulk Central Library,800 Guadalupe St,78701,30.271145,-97.745685,,,
Alfredo (Skam)  Martinez,img/NA.jpg,The Children are the Future,Acrylic Paint,Painting,1/1/91 0:00,Holly Street Power Plant,2400 Holly St,78702,30.251037,-97.721191,,,
"Connie  Arismendi,  Laura  Garanzuay",img/esperanza.JPG,"Rayo de Esperanza / A Beacon of Hope: Cesar E. Chavez Memorial Sculpture, Community Kiosk, Benches","Aqua Jet Cut Aluminum, Steel, Three Celebratory Lighting Programs",Mixed Media,1/1/09 0:00,Terrazas Branch Library,1105 E Cesar Chavez St,78702,30.260183,-97.733761,,,
Ambray  Gonzales,img/Ambray_ReachForDreams.JPG,Reach for Your Dreams,"Carved Limestone, Slate Tiles, River Rocks",Sculpture,1/1/02 0:00,Montopolis Sportsplex,800 Grove Blvd,78741,30.24335,-97.701451,,,
Paul  Bond,img/NA.jpg,Reading Between the Lions,Bronze,Sculpture,1/1/00 0:00,Windsor Park Branch Library,5833 Westminster Dr,78723,30.311649,-97.690219,,,
Jill  Bedgood,img/NA.jpg,Reality * Texas * Mythology,"Etched Glass, Etched Metal Medallions",Mosaic,1/1/99 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.202077,-97.667887,,,
Pio  Pulido,img/NA.jpg,Rebekah Baines Johnson Health Center Mural,Acrylic Paint,Painting,1/1/99 0:00,Rebekah Baines Johnson Health Center,15 Waller St,78701,30.253439,-97.733152,,,
Virginia  Fleck,img/ReflectResound.JPG,Reflect and Resound,"Aluminum, Steel, Paint",Mixed Media,1/1/17 0:00,Austin Shelter for Women and Children,4523 Tannehill Lane,78721,30.28318,-97.668787,,,
Reginald  Adams,img/reflection.JPG,Reflections,Mosaic Mural Made With Glass And Ceramic Tiles,Mosaic,1/1/12 0:00,African American Cultural and Heritage Facility,912 E 11th St,78702,30.270069,-97.730876,,,
Ryah  Christensen,img/ReflectionsOnBrazos.JPG,Reflections on the Brazos,"Glass, Stone",Mosaic,1/1/15 0:00,Second Street District,W Second St,78701,30.264026,-97.74293,,,
Cliff  Garten,img/NA.jpg,Rhytons,"Bronze, Sound Components",Mixed Media,1/1/12 0:00,Zachary Scott Theatre,202 S Lamar Blvd.,78704,30.26435,-97.758013,,,
John  Yancey,img/NA.jpg,Riffs and Rhythms,Broken Tile Mosaic,Mosaic,1/1/96 0:00,Austin Convention Center,500 E Cesar Chavez St,78701,30.263956,-97.740646,,,
Mary  Albrecht,img/NA.jpg,Rosemary: Goddess of the Herb Garden,Ferro Concrete,Sculpture,1/1/00 0:00,Zilker Botanical Gardens,2220 Barton Springs Rd,78746,30.26893,-97.7729,,,
Jill  Bedgood,img/NA.jpg,Rowing Shell,"Back-painted Glass, Aluminum Frame",Mixed Media,1/1/12 0:00,Waller Creek Boathouse,74 Trinity St,78701,30.260647,-97.741732,,,
Nan  Standish Blake,img/NA.jpg,Safe,Print On Fujicolor Crystal Archive Paper,Print,1/1/03 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
Leticia Huerta,img/NA.jpg,San Antonio River,Terrazzo Tile,Mosaic,1/1/17 0:00,Second Street District,500 W 2nd St,78701,30.263583,-97.741368,,,
T. Paul  Hernandez,img/NA.jpg,Sanctuary of the Tribal Alligator,Concrete,Sculpture,1/1/88 0:00,Hill Elementary School,8601 Tallwood Dr,78759,30.376447,-97.74857,,,
Martha  Mcashan Guerin,img/NA.jpg,Sandcastles,Bronze,Sculpture,1/1/89 0:00,Brackenridge Childrens Hospital,,78701,,,,,
Phillip  Wade,img/NA.jpg,Schnauzer at the Door,Oil On Canvas,Painting,1/1/92 0:00,Texas Cancer Center at Brackenridge Hospital,,78701,,,,,
Kathleen  Ash,img/SeaOfKnowledge.JPG,Sea of Knowledge,"Laminated Decorative Glass, Kiln-fired Paint",Mixed Media,1/1/09 0:00,North Village Branch Library,2505 Steck Ave,78757,30.362139,-97.730643,,,
Lawrence  Jolly,img/NA.jpg,Sedona Lake,Oil On Canvas,Painting,1/1/14 0:00,City Hall and Public Plaza,301 W Second St,78701,30.2649,-97.74686,,,
Nobuho  Nagasawa,img/NA.jpg,Seeding Time,"Stones, Limestone, MeeFog Humidification System, Lights, Oak Tree",Landscape,1/1/04 0:00,City Hall and Public Plaza,301 W Second St,78701,30.264554,-97.747765,,,
Jerald Don Evans,img/NA.jpg,She is Alive!,"Bronze, Granite",Sculpture,1/1/11 0:00,George Washington Carver Museum and Cultural Center,1165 Angelina St,78702,30.269979,-97.724015,,,
Eric  Eley,img/checkerburst.JPG,Shock Egg and Checker Burst,"Stainless Steel, Silicon Bronze",Sculpture,1/1/15 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.211885,-97.666847,,,
Shelley  Wood,img/NA.jpg,Shoestring,Selenium-toned Silver Gelatin Print,Print,1/1/03 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
Armando (Tanner)  Martinez,img/NA.jpg,Sign of the Times,Acrylic Paint,Painting,1/1/91 0:00,Holly Street Power Plant,2400 Holly St,78702,30.2512,-97.71962,,,
Peter  Mangan,img/SkyGates.JPG,Sky Gates,"Copper, Brass, Steel, Glass",Mixed Media,1/1/00 0:00,EMS Station 14,7200 Berkman Dr,78752,30.325264,-97.689283,,,
T. Paul  Hernandez,img/snakeculvert.JPG,Snake Culvert,Cast Concrete,Sculpture,1/1/90 0:00,Central Access Television Facility,1143 Northwestern Ave,78702,30.269439,-97.715215,,,
Benito  Huerta,img/snakepath.JPG,Snake Path,Brick Pavers,Landscape,1/1/07 0:00,Emma S. Barrientos Mexican American Cultural Center,600 River St,78701,30.258163,-97.740239,,,
Judd Graham,img/Spin.JPG,Spin,Mild Steel,Sculpture,1/1/17 0:00,Second Street Bridge and Extension,W 2nd Street Extension,78701,30.266177,-97.751203,,,
David  Newton,img/NA.jpg,Spirit of Hope,Bronze,Sculpture,1/1/00 0:00,Millennium Youth Entertainment Complex,1156 Hargrave St,78702,30.271834,-97.710959,,,
James  Tisdale,img/NA.jpg,Squirrley,Terracotta,Sculpture,1/1/08 0:00,City Hall and Public Plaza,301 W Second St,78701,30.265,-97.74651,,,
Rachel Wolfson Smith,img/NA.jpg,Station 7,graphite on paper,Drawing,1/1/17 0:00,Fire Station 7,201 Chicon St,78702,30.258382,-97.724006,,,
Rachel Wolfson Smith,img/NA.jpg,Station 22,enamel paint on aluminum,Painting,1/1/17 0:00,Fire Station 22,5309 E Riverside Dr,78741,30.229501,-97.713222,,,
Ann  Armstrong,img/NA.jpg,Stem Rack,Mild Steel,Sculpture,1/1/12 0:00,Congress Avenue Streetscape,107 E 2nd St,78701,30.264101,-97.743671,,,
Ralph  Helmick,img/NA.jpg,Stevie Ray Vaughan,Bronze,Sculpture,1/1/94 0:00,Vic Mathias Shores,800 W Riverside Dr,78704,30.263113,-97.750675,,,
Margie  Crisp,img/swallowsuite.JPG,Swallow Suite,Linocut,Print,1/1/96 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
Damian  Priour,img/NA.jpg,Symbol Bowl,"Limestone, Glass",Sculpture,1/1/04 0:00,Cultural Arts Division Offices,201 E 2nd St,78701,30.26361,-97.74299,,,
Jill  Bedgood,img/NA.jpg,Texas Botanicals,Oil On Canvas,Painting,1/1/98 0:00,Austin Convention Center,500 E Cesar Chavez St,78701,30.264007,-97.740225,,,
Kelly  Fearing,img/collector.JPG,The Collector Revisited,Photogravure,Print,1/1/97 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
"Beverly  Penn,  Steve  Wiman",img/NA.jpg,The Community Core Sample Project & The Threshold Project,"Mixed Media, Found Objects, Photographs",Mixed Media,1/1/02 0:00,St. Johns Community Center,7500 Blessing Ave,78752,30.332823,-97.693701,,,
Jorge  Pardo,img/NA.jpg,The Courtyard,Hand-painted Ceramic Tile Mural,Mosaic,1/1/88 0:00,Conley-Guerrero Senior Activity Center,808 Nile St,78702,30.265621,-97.711117,,,
Terese M. St. Arnauld,img/NA.jpg,The Cyclist,Silver Gelatin Print,Print,1/1/99 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
Alonso  Rey-Sanchez,img/thefamily.JPG,The Family / La Familia,Mineral Paint On Cement Board,Painting,1/1/11 0:00,E. Seventh Street Obelisco at Pedernales,E 7th and Pedernales,78702,30.260907,-97.713733,,,
Jill  Bedgood,img/NA.jpg,The Life of Waller Creek and Lady Bird Lake,"Back-painted And Etched Glass Tiles, Wooden Tiles",Mixed Media,1/1/12 0:00,Waller Creek Boathouse,74 Trinity St,78701,30.26065,-97.741872,,,
Geoffrey  Graham,img/NA.jpg,The Prophesy of Peace,Serigraph,Print,1/1/86 0:00,City Hall and Public Plaza,301 W Second St,78701,30.26492,-97.74714,,,
"Margaret Heffernan, Michael  Heffernan,  Faith  Schexnayder,  Sara  Twaddle",img/NA.jpg,The Reading Chair,"Ceramic And Glass Tiles, Concrete Masonry Unit",Mixed Media,1/1/11 0:00,McBeth Recreation Center,2401 Columbus Dr,78746,30.266724,-97.778372,,,
Aly  Winningham,img/theroots.JPG,The Roots/ Las raices,Glass And Metal On Cement Board,Mixed Media,1/1/11 0:00,E. Seventh Street Obelisco at Chicon,E 7th and Chicon,78702,30.26256,-97.72213,,,
John  Christensen,img/NA.jpg,The Source,"Bronze, Granite, Concrete",Sculpture,1/1/94 0:00,Waller Creek Center,625 E Tenth St,78701,30.269775,-97.734988,,,
Doug  Brown,img/NA.jpg,The Unsung,Acrylic Paint,Painting,1/1/01 0:00,Kenneth Gardner Service Center,4108 Todd Ln,78744,30.211902,-97.737986,,,
Fidencio  Duran,img/NA.jpg,The Visit,9 Acrylic On Canvas Panels,Painting,1/1/99 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.2024,-97.66791,,,
Benge  Elliott,img/NA.jpg,Three Sheep,Steel,Sculpture,1/1/03 0:00,City Hall and Public Plaza,301 W Second St,78701,30.26466,-97.7475,,,
Mikyoung  Kim,img/NA.jpg,Time Lines,Digital Prints On Acrylic 20 LPI Lenticular Lens Mounted On Dibond Backing,Print,1/1/14 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.202211,-97.665904,,,
Sandra  Fiedorek,img/NA.jpg,To Parts Unknown,Tarmac Paint And Glass Beads On Wood Panels,Painting,1/1/99 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20208,-97.66698,,,
Connie  Arismendi,img/Estamos.JPG,Trail of Tejano Legends: !Estamos en Tejas!,Aluminum,Sculpture,1/1/08 0:00,Butler Hike and Bike Trail at Lady Bird Lake,2711 Canterbury St,78702,30.251227,-97.714216,,,
Connie  Arismendi,img/Tenderly.JPG,Trail of Tejano Legends: Tenderly,Aluminum,Sculpture,1/1/08 0:00,Butler Hike and Bike Trail at Lady Bird Lake,1621 Nash Hernandez Sr Rd,78702,30.249331,-97.73015,,,
Connie  Arismendi,img/cancion.JPG,Trail of Tejano Legends: Una Cancion de Fe y Familia,Aluminum,Sculpture,1/1/08 0:00,Emma S. Barrientos Mexican American Cultural Center,600 River St,78701,30.258003,-97.740848,,,
