artist,image,title,material,medium,date,location,address,zip,lat,lon,,,
Stephanie  Strange,img/BlackWell.JPG,Black Well,"Mild Steel, Typewriter Keys",Sculpture,1/1/10 0:00,Twin Oaks Branch Library,1800 S Fifth Street,78704,30.248697,-97.762381,,,
Kincannon Studios,img/Blackbird.JPG,Blackbird,"Texas Limestone, Black Mineral Finish, Bronze",Mixed Media,1/1/17 0:00,Republic Square Park,422 Guadalupe St,78701,30.268006,-97.747203,,,
Jerry  Defrese,img/blackland.JPG,Blackland,Galvanized Steel,Sculpture,1/1/83 0:00,George Washington Carver Museum and Cultural Center,1165 Angelina St,78702,30.269968,-97.723711,,,
Vy Ngo,img/NA.jpg,Blue,"Oil, Acrylic On Canvas",Painting,1/1/17 0:00,City Hall and Public Plaza,301 W Second St,78701,30.2649,-97.74681,,,
Casey D. Cooper,img/BlueGate.JPG,Blue Gate,Painted Stainless Steel,Painting,1/1/14 0:00,Bartholomew Municipal Pool,1800 E 51st St,78723,30.302685,-97.697185,,,
Virginia  Fleck,img/NA.jpg,Bounce,"Archival Digital Prints, Plexiglas",Print,1/1/13 0:00,Cultural Arts Division Offices,201 E 2nd St,78701,30.26395,-97.74311,,,
Sodalitas Art Group,img/BrazosSound1.JPG,Brazos Sound Project #1,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos Street and Cesar Chavez, west side",78701,30.26325,-97.74318,,,
Sodalitas Art Group,img/BrazosSound10.JPG,Brazos Sound Project #10,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos south of 4th Street, east side",78701,30.26547,-97.74221,,,
Sodalitas Art Group,img/BrazosSound11.JPG,Brazos Sound Project #11,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos between 3rd and 4th Street, east side",78701,30.2653,-97.74263,,,
Sodalitas Art Group,img/BrazosSound12.JPG,Brazos Sound Project #12,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos north of 2nd Street, east side",78701,30.26474,-97.74285,,,
Sodalitas Art Group,img/BrazosSound13.JPG,Brazos Sound Project #13,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos south of 2nd Street, east side",78701,30.2643,-97.74298,,,
Sodalitas Art Group,img/BrazosSound2.JPG,Brazos Sound Project #2,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos south of 2nd Street, west side",78701,30.26424,-97.74303,,,
Sodalitas Art Group,img/BrazosSound3.JPG,Brazos Sound Project #3,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos and 3rd Street, west side",78701,30.264566,-97.742764,,,
Sodalitas Art Group,img/BrazosSound4.JPG,Brazos Sound Project #4,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos south of 4th Street, west side",78701,30.264063,-97.742608,,,
Sodalitas Art Group,img/BrazosSound5.JPG,Brazos Sound Project #5,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos south of 5th Street (at the Onion), west side",78701,30.266468,-97.74144,,,
Sodalitas Art Group,img/BrazosSound6.JPG,Brazos Sound Project #6,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos south of 7th Street, west side",78701,30.267078,-97.741726,,,
Sodalitas Art Group,img/BrazosSound7.JPG,Brazos Sound Project #7,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos centered between 6th and 7th Streets, east side",78701,30.26827,-97.74119,,,
Sodalitas Art Group,img/BrazosSound8.JPG,Brazos Sound Project #8,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos near 5th Street, east side",78701,30.264526,-97.742638,,,
Sodalitas Art Group,img/BrazosSound9.JPG,Brazos Sound Project #9,Powder Coated Steel With Electronic Audio Components,Mixed Media,1/1/16 0:00,Brazos Street Streetscape,"Brazos centered between 4th and 5th Streets, east side",78701,30.26624,-97.742041,,,
Roy  Mata,img/NA.jpg,Buba at Barton Springs,Photographic C-print,Print,1/1/03 0:00,City Hall and Public Plaza,301 W Second St,78701,30.2649,-97.74681,,,
Ryan Montgomery,img/NA.jpg,Buttermilk Pie,Oil On Canvas,Painting,1/1/16 0:00,City Hall and Public Plaza,301 W Second St,78701,30.26475,-97.74729,,,
Susan  Wallace,img/cardinalpoints.JPG,Cardinal Points: North-South-East-West,Powder Coated Aluminum And Stainless Steel,Sculpture,1/1/11 0:00,E. Seventh Street Obelisco at Webberville Rd,E 7th and Webberville Rd,78702,30.261434,-97.717204,,,
Claudia Goldman,img/NA.jpg,Cattails and Coneflower,Weathered Steel,Sculpture,1/1/05 0:00,Zilker Botanical Gardens,2220 Barton Springs Rd,78746,30.26899,-97.77281,,,
Christian  Moeller,img/CAW.JPG,CAW,"Aluminum Honeycomb Composite Construction, Finished With A Sprayed Catalyzed Urethane Paint System",Mixed Media,1/1/16 0:00,Central Library,710 W Cesar Chavez St.,78701,30.26584,-97.750235,,,
Twyla  Arthur,img/CelebratingTraditions.JPG,Celebrating Traditions,"Ceramic Tile, Metal, Rocks",Mixed Media,1/1/02 0:00,Springdale Park,1175 Nickols Ave,78721,30.277456,-97.684222,,,
"Jill  Bedgood,  Steve  Wiman",img/CommunityQuilt.JPG,Community Quilt,Broken China And Tile Mosaics,Mosaic,1/1/95 0:00,South Austin Senior Activity Center,3911 Manchaca Rd,78704,30.233339,-97.784596,,,
Jill  Bedgood,img/Charms.JPG,Community Screen: Charms,"Aluminum, Stainless Steel, Paint",Mixed Media,1/1/12 0:00,Northwest Recreation Center,2913 Northland Dr,78756,30.333817,-97.751796,,,
Ben  Livingston,img/NA.jpg,Confabulating Orbits,Neon And Copper,Mixed Media,1/1/96 0:00,Austin Convention Center,500 E Cesar Chavez St,78701,30.262721,-97.740769,,,
Nan  Standish Blake,img/NA.jpg,Connected,Print On Fujicolor Crystal Archive Paper,Print,1/1/03 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
"Sadi  Brewton,  Jonathan  Davies",img/NA.jpg,Cow River,"Solar Lights (19) Inscribed With Town Names, Saw Cut Lines In Existing Concrete",Mixed Media,1/1/14 0:00,Second Street District,310 W 2nd St,78701,30.265093,-97.746704,,,
Werllayne Nunes,img/creativityculture.JPG,Creativity and Culture: A Celebration / Creatividad y Cultura: Una Celebración,"Mineral Paint On Cement Board, Mounted To Steel Frame",Painting,1/1/14 0:00,E. Seventh Street Obelisco at Northwestern,E 7th St at Northwestern,78702,30.261069,-97.714808,,,
"Mery Godigna Collet,  Luis R. Gutierrez",img/NA.jpg,Crosswalk on the Lake,Median Street And Traffic Paint,Painting,1/1/16 0:00,Transportation Department,3701 Lake Austin Blvd,78703,30.29417,-97.78246,,,
Sharon  Engelstein,img/Crullers1.JPG,"Crullers (Big Mama Baby - comprised of Big Mama Baby, Little Mama and Tall Solo)",Pigmented Glass Fiber Reinforced Concrete Over Structural Foam And Steel Armature,Mixed Media,1/1/16 0:00,Second Street Bridge and Extension,708-1/2 W 2nd St.,78701,30.266464,-97.75155,,,
Sharon  Engelstein,img/Crullers2.JPG,"Crullers (Little Mama - comprised of Big Mama Baby, Little Mama and Tall Solo)",Pigmented Glass Fiber Reinforced Concrete Over Structural Foam And Steel Armature,Mixed Media,1/1/16 0:00,Second Street Bridge and Extension,708-1/2 W 2nd St.,78701,30.26645,-97.751605,,,
Sharon  Engelstein,img/Crullers3.JPG,"Crullers (Tall Solo - comprised of Big Mama Baby, Little Mama and Tall Solo)",Pigmented Glass Fiber Reinforced Concrete Over Structural Foam And Steel Armature,Mixed Media,1/1/16 0:00,Second Street Bridge and Extension,215 West Ave.,78701,30.267292,-97.751659,,,
Jack L. Schuller,img/NA.jpg,Crumleys Market,Acrylic On Canvas,Painting,1/1/92 0:00,City Hall and Public Plaza,301 W Second St,78701,30.26479,-97.74729,,,
"Dharmesh  Patel,  Autumn J.  Ewalt",img/Crystalline.JPG,Crystalline #1,Stainless Steel,Sculpture,1/1/13 0:00,Colorado Streetscape,Colorado Street,78701,30.266031,-97.745115,,,
